Text,language
Mama lankawe adu denuma gena adahas karanne eya vishishta deyak.,Singlish
Ape rata bawa gama wenuwen prathipattiya jeewath karana minihek.,Singlish
Api awashya deyak karaganna pulu wanama pasupasu ganna ona.,Singlish
Mama mage yaluwo langa hitapan katha karana dewal gena.,Singlish
Ayi aththatama samaharu lokaya gena nopenena deyak katha karanne.,Singlish
Eya anagathaya wenuwen yojana karana hama deyakma kara yanawa.,Singlish
"Oba yata pamanak newei, loku daruwa yata wath adarei.",Singlish
Eya mokak hari hondama deyak hadanna berinam loku adare.,Singlish
Ape gama geetha kireemata adarei loku raththaran.,Singlish
Mama loku daruwa gena katha karana loku mawada obamai.,Singlish
Eya hondatama wachana kiyaganna puluwan loku daruwa.,Singlish
Lokaya wanasune anithun wage noweyi mama wage.,Singlish
Oba langa hitapu gaman dakunu pawichchi karannai.,Singlish
Api sammanaya gena wachana kiyanna ochchara godak.,Singlish
Oba hithema karanawa hondatama sahurdaya pennanna.,Singlish
Lokaya dekaman saha nama wadima kalinma nowei.,Singlish
Api ratata wada kala deyak gena kathakarannai.,Singlish
Lokaya gena hondatama karapu deyak nemei ethakota.,Singlish
Ayi loku daruwak honda kamak wenuwen adarei karanawa.,Singlish
Eya honda deyak karanna lokuma oba wenuwen prathipattiya.,Singlish
Api sinhala gamana gena hithuwe lokuma adarei.,Singlish
Oba rata wenuwen prathipattiya jeewath karanne ai kiyala hitanawa.,Singlish
Mama hithanne oba wage sahurdaya aya adarenna onai.,Singlish
Api gama yaluwo wenuwen lokuma sahurdaya pennana onai.,Singlish
Eya anagathaya wenuwen awashya deyak karanna hadanawa.,Singlish
Api namuth mage lokuma oba wenuwen sahurdaya denna.,Singlish
Mama wenuwen thiyenne loku adare saha sammanaya.,Singlish
Oba anithun langa wath adarei saha sammanaya denna.,Singlish
Mama loku gaman obata kisima adare nokiya hitanawa.,Singlish
Api sinhala gaman karana eya wenuwen loku adarei.,Singlish
Oba gamana gena sinhala loka adarei saha sammanaya.,Singlish
Mama sinhala gama gena lokuma sahurdaya pennanna karanawa.,Singlish
Api gama wasiyen langa wath sahurdaya denne.,Singlish
Eya sinhala gama gena kisima kathawa karanne.,Singlish
Oba sinhala gamana wenuwen awashya deyak denne.,Singlish
Mama sinhala gamana gena awashya kathawak nokaranawa.,Singlish
Api sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Eya sinhala gama gena kisima awashya deyak nokaranawa.,Singlish
Oba sinhala gamana gena kathawa karanne ne.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna karanawa.,Singlish
Api sinhala gamana gena kisima kathawak nokaranawa.,Singlish
Eya sinhala gama wenuwen awashya deyak denna.,Singlish
Oba sinhala gamana gena kathawa nokaranawa.,Singlish
Mama sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Api sinhala gamana gena awashya deyak denna ona.,Singlish
Eya sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Oba sinhala gamana gena awashya kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen kisima deyak denna karanawa.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna karanawa.,Singlish
Oba sinhala gamana gena kisima deyak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana gena awashya deyak nokaranawa.,Singlish
Mama sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Api sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Eya sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Oba sinhala gamana wenuwen awashya kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
Eya sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Oba sinhala gamana wenuwen kisima kathawak nokaranawa.,Singlish
Mama sinhala gamana wenuwen awashya deyak denna ona.,Singlish
Api sinhala gamana wenuwen kisima deyak nokaranawa.,Singlish
